track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min
3EJS5LyekDim1Tf5rBFmZl,Trippy Mane (ft. Project Pat),4,0,TRUE,Diplo,77,2812821,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.55
1oQW6G2ZiwMuHqlPpP27DB,OMG!,1,0,TRUE,Yelawolf,64,2363438,"country hip hop, southern hip hop",4SUmmwnv0xTjRcLdjczGg2,OMG!,2025-10-31,1,single,3.07
7mdkjzoIYlf1rx9EtBpGmU,Hard 2 Find,1,4,TRUE,Riff Raff,48,193302,N/A,3E3zEAL8gUYWaLYB9L7gbp,Hard 2 Find,2025-10-31,1,single,2.55
67rW0Zl7oB3qEpD5YWWE5w,Still Get Like That (ft. Project Pat & Starrah),8,30,TRUE,Diplo,77,2813710,moombahton,5QRFnGnBeMGePBKF2xTz5z,"d00mscrvll, Vol. 1",2025-10-31,9,album,1.69
15xptTfRBrjsppW0INUZjf,ride me like a harley,2,0,TRUE,Rumelis,48,8682,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.39
4ccpCcZYseq8VrPMK1EDs0,BLEED,1,2,FALSE,Minzie,46,7218,dark r&b,2NQv9p3ZQW0Ed1LB9enix8,BLEED,2025-10-30,3,single,2.76
3QoQ3HqXTAjgEl9LbNMbYp,Te Procuro na Cidade,1,20,FALSE,AZERDK,30,1657,N/A,1PpuOsLjPWshDLxkr0oHeU,Te Procuro na Cidade,2025-10-30,1,single,4.12
1YEZbdT417SfolPQzaoHs2,come closer,1,27,FALSE,Rumelis,49,8802,dark r&b,06FDIpSHYmZAZoyuYtc7kd,come closer / ride me like a harley,2025-10-30,2,single,2.53
4pZ949nFW5SurwzE0TSe7I,Cupido Vagabundo,1,16,FALSE,Toni dos Anjos,6,475,N/A,60DLQZkzpvDvVfvEC6VOJM,Cupido Vagabundo,2025-10-30,2,single,2.92
0L0LgwFZ7UtBnRNQvSBty6,LET’S GO!,1,33,TRUE,PsychoYP,48,154802,"nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing",3ARxksm8CspGeAaZZB1v2w,LET’S GO!,2025-10-28,1,single,2.4
5mfAZwEr4jAVDnSY0HHuyH,Stray,1,30,FALSE,What Matters The Most,25,814,N/A,0DHsJaaMzbygWosCjYk37t,Stray,2025-10-25,4,single,2.49
4V1Sh9Y2z6e8HpzNOet5rC,PAPARAZZI ARRIVE - English Ver.,1,48,FALSE,A2O,46,13826,c-pop,54XcHEnJ2BKMOzkeRrRubu,PAPARAZZI ARRIVE,2025-10-24,14,album,2.89
0NZKfcua68wuZePhjp8N2I,Root of all Evil,5,65,FALSE,Daniel Caesar,85,11137714,N/A,115s3YJqm6iLblABdjtgzQ,Son Of Spergy,2025-10-24,12,album,4.41
6zFWxD9hkOPAIlgWAGyQGQ,Let’s Go!!,2,0,TRUE,Ovi Jozi,17,3567,N/A,0liPj9Le4hvoMJQhYOi5kP,"High Risk, High Reward",2025-10-24,6,single,2.05
66F6YyfnWy6cNc6bd3zl2C,MELODY - CHENYU & SHIJIE & QUCHANG,11,27,FALSE,A2O,46,13590,c-pop,54XcHEnJ2BKMOzkeRrRubu,PAPARAZZI ARRIVE,2025-10-24,14,album,4.25
22c6Yop5YVEAhw8UG6O1W1,My Muse,2,67,TRUE,Leon Thomas,74,735818,N/A,6ph5zbGAudn0EKyw3vXbXM,PHOLKS,2025-10-24,7,single,2.75
